BOROUGH,SITE_NUMBER,AD,ED
3,B0300,49,6
3,B0388,59,26
4,Q0111,36,2
1,M0046,65,67
3,11444,54,63
3,10286,53,37
1,M0065,66,70
2,X0027,84,74
4,Q0132,31,71
3,11011,43,22
3,B0332,47,10
5,10301,61,42
3,B0337,43,13
1,10569,69,51
3,11412,43,9
3,B0323,57,73
3,B0187,52,48
3,B0163,54,76
4,Q0099,28,20
3,B0306,56,6
2,10712,82,13
3,11175,47,29
3,11492,55,85
1,M0218,76,4
4,Q0057,31,47
2,X0177,78,41
4,Q0105,33,39
2,X0157,79,32
3,B0034,56,79
3,B0017,42,41
2,X0093,86,23
3,B0119,50,78
4,10732,30,22
4,Q0147,34,36
2,X0104,81,9
1,M0224,76,73
3,B0094,47,50
2,11496,78,27
4,10608,34,23
4,Q0210,38,2
5,S0048,62,39
3,B0315,60,72
1,M0050,76,41
3,B0001,44,15
3,B0289,48,45
3,11566,57,11
4,Q0087,31,33
1,M0245,66,74
1,10760,70,32
4,11104,29,59
4,Q0047,32,35
2,X0203,87,42
4,Q0097,29,13
5,S0074,63,33
3,B0331,43,44
2,10546,86,61
1,10279,75,84
2,X0234,82,65
3,B0378,49,19
3,B0258,57,52
3,B0362,43,48
2,11496,78,26
4,10561,37,74
3,10984,58,29
1,10768,71,17
1,M0086,68,2
1,10993,69,98
1,M0072,69,34
5,S0030,63,71
1,M0111,73,10
2,X0017,80,4
4,11438,30,32
3,B0185,51,56
4,Q0271,33,8
4,Q0147,34,63
1,M0218,76,14
4,11490,30,60
3,11440,51,8
2,10354,83,76
3,10678,41,93
1,M0240,71,51
1,11197,74,14
2,X0201,84,9
4,Q0246,23,17
3,B0179,55,13
4,Q0151,26,64
1,11169,68,62
2,X0223,78,42
1,10241,74,51
3,B0079,58,74
2,X0008,84,11
5,10008,62,21
4,Q0182,25,52
1,10932,75,31
3,10258,54,21
4,Q0102,25,37
3,B0016,54,15
4,Q0013,32,27
5,S0071,61,14
4,Q0062,26,17
4,Q0182,25,55
1,M0088,65,71
5,10010,62,57
1,M0044,67,75
2,10210,87,38
3,10437,42,22
2,X0197,83,31
3,11440,51,20
2,X0075,82,61
3,B0024,59,65
3,B0205,52,89
3,B0235,44,2
4,Q0202,26,42
1,10119,66,88
3,11280,56,5
4,Q0237,30,15
1,M0106,72,56
3,B0189,50,22
2,X0067,86,32
3,B0314,64,83
4,Q0079,40,6
4,10861,29,67
3,B0382,45,7
3,B0166,52,25
3,B0236,48,20
4,Q0191,39,7
3,B0252,60,13
2,X0143,83,39
4,10861,29,64
1,10768,70,57
1,10759,74,85
3,11407,56,41
1,M0111,73,11
3,11382,46,49
4,Q0216,35,27
4,Q0272,39,28
3,B0092,45,56
4,Q0250,24,17
2,10616,85,4
3,B0346,56,44
5,S0072,62,34
3,B0067,55,41
3,11409,41,6
3,11440,51,69
3,B0371,59,15
2,10090,79,13
2,10087,86,13
1,M0135,69,88
1,M0173,68,70
4,Q0233,28,72
2,10359,86,5
3,11293,50,7
4,Q0062,26,15
4,Q0266,24,67
3,B0057,53,52
4,Q0280,28,15
3,B0357,44,67
4,Q0282,24,81
3,10967,55,92
2,X0027,84,77
3,B0257,53,51
1,M0044,67,74
4,Q0184,37,34
2,X0167,85,9
3,B0056,58,66
3,B0279,48,21
2,X0006,85,34
3,B0187,52,29
3,B0139,45,47
2,X0103,82,64
3,B0266,49,31
2,X0223,78,8
2,11243,81,48
4,Q0262,27,8
4,Q0155,37,7
4,Q0119,24,25
3,B0354,50,1
2,X0153,83,47
2,X0028,85,68
2,X0037,80,83
4,Q0193,26,35
3,B0196,45,74
2,11004,87,66
3,B0332,49,45
2,X0178,84,49
3,B0196,45,63
4,Q0272,39,16
3,B0134,57,23
2,X0209,85,55
3,B0119,50,77
4,Q0039,32,71
1,M0218,76,13
3,B0067,55,42
3,11421,43,76
4,10732,30,31
3,B0371,59,25
4,Q0271,33,7
4,Q0108,33,57
3,B0391,43,55
2,X0097,81,86
2,10817,79,61
5,S0011,63,15
2,X0138,81,101
2,X0118,78,32
3,B0035,50,69
4,Q0272,39,27
3,10933,58,72
1,11263,71,36
3,B0030,55,86
4,Q0112,36,61
3,B0142,50,2
1,11533,68,65
4,Q0272,39,23
3,10598,43,26
1,M0019,66,59
2,10346,77,26
3,B0384,45,50
4,Q0048,40,39
3,11237,54,54
1,11270,69,63
4,Q0262,28,12
2,X0101,82,54
1,11260,65,36
4,Q0096,29,22
4,10206,25,5
5,S0032,62,69
3,11431,42,56
4,Q0115,25,32
1,10405,70,7
3,11430,52,31
4,Q0130,29,49
4,Q0131,29,71
4,10844,24,34
4,Q0099,28,21
4,Q0062,26,14
4,Q0005,33,55
4,Q0089,32,73
3,11382,46,54
2,11151,83,1
1,M0155,75,25
2,X0081,78,2
1,10271,72,42
1,10516,66,41
2,X0076,87,2
3,10597,56,26
3,10062,45,3
1,10569,69,53
4,Q0045,36,14
4,10861,29,63
2,X0235,82,3
4,Q0260,31,32
5,S0026,64,1
1,10222,66,8
2,X0130,81,38
4,Q0251,39,49
1,M0129,76,38
4,Q0007,23,29
4,11458,33,56
2,X0201,77,59
3,B0323,57,81
1,10759,74,87
4,Q0088,29,16
1,M0218,73,50
2,X0065,79,12
1,M0106,72,62
5,11201,63,35
1,M0212,75,72
4,Q0219,35,30
5,10417,64,42
3,B0371,59,5
2,11172,86,46
4,10861,29,65
4,Q0151,26,58
4,Q0044,23,59
1,M0064,68,31
4,10566,39,45
4,Q0251,39,41
5,S0075,63,1
1,11220,67,5
1,M0245,66,77
1,M0078,68,10
5,S0075,62,26
3,B0372,60,80
1,M0106,72,63
1,10401,76,17
3,B0205,52,116
4,Q0226,25,21
1,M0132,70,54
3,B0033,48,60
3,B0243,44,11
2,X0138,81,104
2,X0201,77,72
2,10072,84,31
1,M0070,73,90
2,X0203,87,84
1,M0171,76,59
2,X0192,79,68
1,M0280,67,32
2,10087,86,14
1,M0288,74,28
1,11508,72,11
2,X0225,82,14
1,M0237,67,82
4,10589,34,62
3,B0406,59,33
3,B0081,45,6
3,B0120,55,31
3,B0378,49,18
3,B0267,52,81
3,10857,45,44
4,11186,38,11
2,X0098,78,39
3,11450,55,58
4,Q0119,24,22
2,X0207,80,53
3,B0238,52,35
2,10652,80,74
3,B0391,43,54
4,10221,32,49
1,M0019,66,63
3,10253,51,42
1,11265,68,18
4,Q0201,25,39
3,11447,55,56
3,B0093,53,5
4,Q0273,38,51
3,11187,43,41
3,B0379,58,63
4,Q0086,25,61
4,Q0203,31,72
4,Q0271,33,6
3,11488,46,74
4,10732,30,70
5,10181,63,4
1,M0288,74,30
1,10401,76,18
2,X0138,81,100
4,Q0155,37,8
4,10199,23,33
4,Q0213,37,47
4,Q0278,24,69
4,10560,26,6
2,X0188,85,40
4,Q0063,40,53
2,X0053,85,11
1,M0111,73,3
3,B0142,50,51
2,10359,86,6
3,B0089,52,71
2,X0014,83,62
4,Q0108,33,63
5,S0062,64,14
3,11175,47,21
3,B0302,60,27
4,Q0304,38,36
3,10295,42,23
2,X0080,87,78
1,10620,76,1
3,B0390,59,68
2,X0092,78,19
1,M0128,74,64
3,B0386,42,7
3,B0055,55,27
1,M0144,67,26
1,M0231,67,10
4,Q0045,36,11
4,10731,34,16
1,M0019,66,64
3,B0189,53,19
3,B0080,49,44
2,10071,84,16
3,B0383,41,66
2,10601,80,7
4,Q0082,26,55
4,Q0115,25,31
5,10709,63,52
3,10557,57,75
2,10075,84,57
2,10616,85,5
3,B0046,56,68
2,X0203,85,23
3,10253,52,77
3,B0087,57,48
3,B0223,60,9
3,10068,60,65
3,B0020,41,38
4,10843,28,30
1,M0143,70,30
4,Q0048,40,40
4,10734,23,70
3,B0027,53,15
1,11532,68,61
3,B0313,59,60
3,B0113,50,49
3,B0390,59,73
4,Q0318,37,12
2,10212,83,70
3,B0080,49,26
4,Q0258,23,16
3,B0325,60,85
4,Q0017,32,37
1,M0067,68,79
4,Q0109,33,28
1,10993,69,107
2,11180,87,69
4,Q0025,31,26
4,10819,32,3
3,B0348,46,51
1,M0240,71,24
1,10410,74,34
5,S0001,61,59
1,11479,71,1
3,B0362,43,50
5,S0074,63,32
1,10261,73,60
2,X0110,83,85
1,M0143,70,22
1,M0072,69,41
3,B0076,42,60
3,B0320,46,66
1,M0013,73,4
3,B0307,44,40
3,B0020,59,17
4,10698,36,9
3,B0242,51,4
1,10241,74,49
4,Q0116,33,25
4,10221,32,55
4,Q0084,32,59
1,M0018,73,83
3,10556,53,73
5,S0006,61,18
4,Q0079,40,10
4,Q0254,30,9
4,Q0197,31,52
1,M0289,69,26
4,Q0040,40,51
1,M0105,70,27
3,B0059,60,5
3,B0237,50,39
3,B0332,49,41
1,11095,76,36
4,Q0158,40,12
2,X0172,81,91
4,Q0276,27,69
1,M0280,67,29
2,X0037,78,33
4,Q0299,28,42
4,Q0209,30,53
3,B0090,52,68
4,10608,34,22
3,10054,53,69
3,10672,44,45
2,X0111,78,23
2,X0161,81,20
4,10962,27,64
1,11191,75,87
3,B0088,53,49
4,10221,32,54
4,Q0087,31,37
3,11148,47,40
2,X0191,79,63
1,10837,76,34
3,B0152,47,57
2,X0213,79,48
3,11230,58,20
1,10569,69,60
4,Q0158,40,8
4,Q0310,34,7
1,10768,70,56
1,M0037,75,19
4,Q0282,32,11
4,Q0062,27,23
3,11187,43,42
3,B0020,41,40
2,X0237,81,62
5,S0004,63,24
1,M0169,71,69
2,X0004,77,63
3,10366,50,3
4,Q0276,28,5
4,Q0234,28,39
2,X0189,79,23
3,10058,56,67
2,11451,84,24
5,S0048,62,37
4,Q0140,36,32
1,10465,75,49
3,11454,41,26
1,10465,75,61
5,10341,61,50
1,10576,69,55
3,B0267,52,78
3,B0193,55,52
4,Q0090,26,25
2,X0023,86,62
4,10736,24,51
1,M0280,67,24
4,Q0166,37,38
1,10837,76,28
1,11263,71,37
4,Q0240,27,45
3,11420,49,62
1,10744,68,6
5,S0076,64,45
4,Q0139,36,21
4,Q0092,29,28
2,X0157,79,37
2,11496,78,14
1,10241,74,50
2,X0183,78,5
4,Q0086,25,12
3,B0371,58,57
4,11104,29,31
2,X0153,81,11
4,Q0278,28,3
4,Q0158,40,11
3,B0243,44,1
5,S0078,61,44
4,Q0108,33,59
1,M0037,75,17
4,Q0251,39,34
5,11240,61,55
1,M0259,72,71
3,B0372,60,66
3,B0260,55,21
5,10006,64,16
4,Q0130,29,46
2,X0143,83,38
3,B0121,55,34
3,B0257,53,42
4,Q0124,36,35
4,Q0085,26,59
5,S0009,61,10
1,M0248,70,69
1,M0237,67,77
2,10601,80,8
2,X0166,81,60
4,Q0315,23,5
4,Q0088,29,15
4,Q0047,32,33
1,11577,68,107
3,B0338,55,3
5,11259,61,7
1,M0083,73,84
5,S0075,63,3
3,11429,52,76
3,11230,58,83
1,M0065,66,71
3,B0272,54,58
1,M0078,68,4
1,10569,69,58
3,10039,41,70
3,B0198,54,69
4,10566,39,19
1,M0334,74,31
4,Q0226,25,65
2,10603,83,23
3,B0305,44,50
3,B0294,52,42
4,Q0261,23,67
2,X0177,80,50
3,11406,53,30
2,X0157,79,36
4,Q0028,31,14
4,Q0245,25,25
4,Q0016,31,10
1,M0278,70,84
3,B0324,64,90
3,11118,59,54
3,B0104,42,45
2,X0005,85,58
2,X0005,85,59
3,B0080,49,36
1,11191,67,11
4,Q0315,23,9
2,X0214,80,39
3,B0059,60,78
4,Q0029,32,72
2,X0179,81,71
1,M0313,73,14
4,Q0093,24,32
2,X0110,80,71
5,10010,63,9
4,Q0005,33,54
5,S0056,61,17
3,B0267,44,62
5,S0004,63,58
4,Q0108,33,60
3,B0176,57,29
2,10087,86,16
4,Q0257,24,6
1,M0082,71,9
1,10428,67,57
4,Q0079,26,12
2,X0081,79,5
4,Q0105,33,40
3,B0291,43,27
3,B0266,48,6
3,B0284,60,43
2,10071,77,66
4,Q0151,26,61
3,B0092,45,28
2,X0152,83,66
4,Q0116,33,22
2,X0110,80,73
4,Q0096,33,34
3,B0081,45,11
3,11149,44,61
4,Q0051,27,27
4,Q0028,31,16
3,B0303,58,12
1,M0129,76,37
1,11474,71,45
2,X0034,83,18
5,11005,63,45
4,Q0251,39,47
2,X0091,77,41
3,B0117,56,10
1,10433,65,70
4,Q0099,28,19
2,X0006,85,80
4,10225,24,44
2,X0118,78,35
3,B0292,48,34
3,B0126,57,24
3,B0069,50,42
4,11110,24,36
1,M0289,69,23
4,Q0025,31,27
3,10253,51,13
1,10831,76,23
3,B0018,43,61
1,M0051,70,37
2,10359,77,18
4,10609,34,64
4,Q0261,23,68
2,X0179,81,72
4,Q0295,33,15
4,Q0147,34,35
2,X0092,86,57
5,S0076,64,36
3,B0328,60,47
4,11158,38,34
2,10484,83,84
4,Q0007,23,28
5,S0075,63,2
3,B0312,51,54
4,Q0074,25,46
2,X0118,78,28
3,10557,57,76
3,11501,48,9
2,X0017,80,5
3,11445,54,74
3,B0126,57,15
4,10962,27,77
2,X0003,87,14
2,10077,87,40
1,M0289,69,48
3,11413,53,47
3,B0018,56,77
1,10837,76,31
4,Q0321,31,55
3,B0312,51,49
4,Q0298,28,69
1,M0245,66,75
4,Q0028,31,13
1,M0046,66,17
3,B0320,46,67
2,X0039,85,13
3,B0176,57,28
3,B0104,42,43
3,10254,50,10
4,Q0125,24,61
4,10509,29,29
3,B0304,46,68
3,B0125,59,40
4,Q0049,29,40
3,B0193,60,87
3,B0121,55,33
4,Q0271,33,9
2,X0127,82,47
4,Q0033,31,66
3,11454,41,51
3,B0016,54,26
3,B0144,42,51
4,Q0278,24,26
4,Q0184,37,37
4,Q0210,38,3
3,11237,54,50
2,10312,84,61
3,B0212,52,4
3,10788,46,8
3,B0057,53,65
5,S0017,61,24
3,B0014,59,41
3,10253,44,12
4,Q0076,23,47
2,X0147,83,46
4,Q0124,36,56
3,B0271,58,14
3,11432,44,17
3,B0256,49,8
4,Q0250,24,23
3,B0176,57,27
4,11152,40,43
3,11118,59,52
3,B0119,50,73
2,X0168,84,45
3,B0263,55,5
3,11566,50,14
2,X0027,84,73
4,Q0097,29,11
3,B0019,49,9
1,M0135,69,86
1,M0289,69,22
1,10726,67,1
4,Q0089,32,74
1,11523,74,48
3,B0094,47,36
2,X0068,86,63
4,Q0087,31,35
5,S0047,64,32
2,X0234,82,78
2,X0189,79,22
1,11529,67,21
1,M0086,68,1
1,11487,69,16
1,M0155,75,62
1,10099,75,14
1,10768,70,58
3,B0243,44,13
4,Q0307,23,51
1,10569,69,50
1,10261,73,53
3,11420,49,4
3,B0293,60,16
3,B0061,56,53
3,B0314,64,86
3,10295,42,35
3,B0291,43,3
3,11476,43,20
1,11225,65,12
3,B0055,54,78
4,10864,36,20
3,B0379,58,53
4,11152,40,35
2,10686,77,52
2,X0224,84,66
3,B0090,52,101
4,Q0251,39,38
1,10527,75,8
1,10516,66,44
2,X0076,87,91
4,Q0233,28,73
3,B0293,60,14
2,X0087,86,29
3,11187,43,43
2,X0152,83,77
4,10819,32,4
3,B0355,46,50
2,X0005,85,36
3,B0307,44,42
2,X0214,80,58
3,B0104,58,18
3,B0339,57,64
4,Q0151,26,63
2,X0201,84,14
1,M0135,69,73
4,Q0033,31,69
3,11231,43,37
4,Q0035,23,24
2,X0121,82,40
3,10123,48,13
4,11438,30,34
3,B0354,50,88
1,10768,70,55
5,10012,64,21
4,10206,27,17
4,Q0216,35,55
2,X0226,79,44
4,10864,36,7
2,X0092,86,51
4,Q0262,27,18
1,M0018,73,79
1,M0013,73,7
4,Q0232,30,24
4,10862,38,4
2,10544,81,33
4,Q0102,25,35
3,B0155,60,57
4,10737,40,21
5,S0059,62,30
2,10591,78,30
3,B0307,44,43
4,10961,38,50
4,10738,29,23
3,B0113,53,4
3,B0354,50,86
3,B0267,52,79
1,M0019,66,86
3,B0391,43,56
4,Q0171,37,2
4,10732,30,30
1,10139,66,36
3,10052,64,97
4,Q0124,36,34
4,Q0064,23,65
4,Q0092,29,34
4,Q0188,35,8
4,Q0105,33,31
4,Q0049,29,51
1,M0081,70,34
3,B0307,44,47
4,10208,24,41
2,X0039,85,37
3,B0384,45,37
3,B0090,52,67
3,B0380,58,30
5,10341,61,65
3,11230,58,27
3,B0282,59,2
4,Q0294,38,26
2,X0209,85,53
2,X0152,83,81
3,B0205,52,88
3,B0002,54,1
3,B0265,57,47
2,X0166,81,65
3,B0292,49,43
3,B0315,60,70
3,B0300,49,37
3,11476,43,75
4,10135,27,74
1,M0280,67,34
3,10254,50,28
5,S0045,63,55
3,B0289,48,51
4,Q0012,32,41
1,10611,65,11
4,Q0199,35,14
4,Q0152,35,39
2,X0076,87,3
1,M0171,73,75
5,S0004,63,57
4,Q0028,31,11
2,X0143,83,43
3,B0357,48,67
2,X0005,85,52
4,10585,37,51
5,S0032,63,20
4,Q0012,29,20
1,M0135,69,84
4,Q0254,30,7
4,Q0211,28,78
4,Q0199,35,9
3,11417,58,23
5,S0059,62,29
1,11474,71,43
5,S0078,61,45
4,Q0298,28,65
3,11418,43,33
5,S0006,61,41
4,Q0222,27,52
3,B0254,60,19
3,B0131,44,32
1,M0078,68,15
3,11444,54,38
1,M0121,70,51
4,Q0178,31,60
4,Q0004,23,13
3,B0087,57,49
4,11158,38,49
4,Q0219,27,56
4,10208,24,52
4,Q0232,30,72
4,Q0112,36,40
1,M0088,65,69
2,X0065,79,6
4,Q0119,24,80
3,11448,55,63
3,B0017,42,40
1,11265,68,47
4,10962,27,78
1,10139,66,34
2,X0197,83,34
1,11270,69,71
3,B0018,55,84
4,Q0119,24,19
4,10585,38,8
3,10160,53,31
4,Q0052,40,24
3,11175,47,52
3,B0022,58,7
2,X0068,86,33
3,B0289,48,36
2,X0079,87,63
1,10222,66,13
2,X0131,84,79
4,Q0188,39,21
4,Q0299,30,33
2,X0052,86,38
3,B0191,53,12
3,B0223,60,11
5,S0022,64,47
3,B0355,46,56
2,X0143,83,53
5,S0031,61,63
4,Q0025,31,28
4,Q0033,31,65
3,B0388,41,39
3,B0144,42,59
3,B0077,48,49
1,11194,76,81
4,10929,32,48
5,10013,64,26
3,B0371,59,85
4,Q0273,38,24
4,Q0077,26,9
3,B0198,54,75
5,S0057,61,26
3,B0272,54,59
4,Q0090,26,19
3,B0056,58,68
3,B0306,56,2
4,10343,30,61
3,11418,43,29
4,Q0278,24,68
3,11386,52,2
4,Q0140,36,28
3,B0172,46,25
1,11260,65,37
3,11374,60,48
4,Q0053,31,41
1,M0145,72,23
2,X0179,81,106
5,S0032,62,67
1,M0100,68,9
1,M0288,74,29
4,Q0012,29,19
1,10548,66,45
3,11471,64,87
4,10206,24,49
3,B0348,64,89
3,10681,43,53
3,B0086,47,5
4,Q0025,31,23
1,M0111,75,53
5,10027,64,25
5,10596,62,16
1,10760,70,33
4,Q0262,28,25
4,Q0217,26,48
3,B0104,58,17
3,10123,48,10
2,X0165,81,89
1,M0135,69,90
4,Q0106,23,4
3,11424,49,20
1,M0084,68,73
2,X0138,81,97
4,Q0052,40,31
3,B0103,56,3
3,10842,53,61
3,B0158,47,58
4,Q0261,23,43
1,M0144,67,27
3,11535,57,4
1,10440,70,29
1,10432,67,98
1,11575,71,85
3,B0033,48,48
3,B0278,59,27
2,X0017,80,2
4,Q0262,27,22
3,11452,44,66
1,M0135,69,79
2,X0143,83,44
3,B0333,54,37
2,X0178,84,50
4,Q0180,37,29
3,B0253,48,31
2,X0007,79,28
4,Q0063,40,27
1,10308,65,47
2,X0186,80,22
1,10279,75,65
4,11509,30,57
3,11410,51,48
1,M0255,72,14
1,10433,65,77
1,M0313,73,12
2,X0077,87,87
4,Q0200,35,1
1,M0255,72,16
3,10931,53,57
4,Q0211,37,44
1,M0231,67,6
5,11292,61,36
1,10241,74,52
2,X0027,84,81
5,10417,64,41
1,M0313,73,15
4,Q0271,33,2
2,X0231,81,12
1,10726,67,51
3,B0317,42,11
3,10967,55,93
1,10726,67,3
3,B0272,54,56
3,B0166,52,23
3,B0242,51,1
5,S0078,61,62
3,B0163,54,10
4,Q0140,36,31
2,11172,78,10
3,B0104,42,71
2,X0205,79,50
1,M0065,66,69
4,11490,34,43
3,B0260,56,42
3,B0080,49,59
1,M0155,75,24
4,Q0082,26,56
4,11458,33,69
4,Q0108,33,58
4,Q0298,28,66
4,Q0045,37,5
3,B0119,50,79
3,11374,60,49
4,10738,29,24
3,B0260,56,43
3,11445,54,19
4,Q0299,28,51
1,10222,66,12
2,X0025,77,7
3,B0020,41,37
3,B0303,58,46
3,B0406,41,56
3,11417,58,35
1,M0155,75,46
4,10201,35,40
1,M0135,69,77
5,11292,63,65
2,X0005,85,57
3,11476,43,19
4,Q0011,31,2
3,B0236,48,25
1,10744,68,19
3,11488,46,65
3,11446,60,36
3,10253,51,12
3,B0279,48,23
3,10681,43,69
2,10601,80,18
4,10221,32,51
4,Q0159,37,6
2,X0201,77,61
2,11151,83,10
3,B0139,46,40
1,M0070,73,91
3,10556,53,76
1,M0084,68,75
1,M0011,72,67
4,Q0181,25,51
4,Q0076,23,45
1,M0286,65,60
5,S0061,61,9
4,10220,37,40
3,B0077,48,53
4,Q0298,28,67
3,B0315,60,69
2,X0104,78,53
3,B0147,41,36
2,X0076,87,90
1,M0255,72,13
2,X0026,79,34
2,X0034,83,17
3,B0349,47,17
1,M0237,67,94
4,Q0032,27,67
4,Q0175,34,60
4,10199,23,42
3,B0094,47,37
4,11152,40,44
3,B0288,51,25
4,10203,30,51
3,B0250,43,73
4,Q0273,38,52
3,B0301,49,38
3,B0110,44,8
3,B0011,52,8
2,X0015,77,3
3,B0089,52,59
1,M0084,68,66
2,10616,87,80
4,11258,31,39
3,11230,58,22
2,X0039,85,19
3,11229,57,67
2,X0161,81,21
2,X0020,78,54
3,10718,54,3
4,Q0315,23,10
3,10326,58,24
3,B0317,42,14
1,M0171,76,63
4,11159,39,14
4,Q0160,31,62
2,X0034,83,20
4,Q0057,31,46
1,11191,67,17
3,B0223,60,8
3,10551,57,88
4,10560,26,1
3,B0390,59,70
4,10961,28,79
1,M0135,69,85
2,X0166,81,67
1,M0072,69,38
3,11408,44,23
2,X0157,79,82
3,B0354,50,82
3,B0291,43,7
4,Q0071,32,56
3,B0272,54,52
3,B0323,57,68
3,B0120,55,36
3,B0267,51,46
3,B0112,53,40
3,10216,44,27
3,11231,57,83
4,Q0211,30,18
3,B0328,55,99
4,Q0097,29,36
3,B0034,56,16
4,Q0251,39,40
3,B0254,60,31
4,Q0053,31,38
3,B0146,41,73
3,B0237,50,35
4,Q0108,33,37
4,Q0017,32,44
3,B0094,47,45
4,10961,28,9
3,10857,47,53
4,Q0232,34,55
3,B0362,43,12
2,X0179,81,68
3,B0320,46,35
2,X0081,79,4
3,B0343,46,69
2,X0189,79,24
2,10072,84,18
2,X0025,77,6
5,S0014,63,72
1,M0050,76,49
3,10062,45,1
3,B0374,60,33
3,B0002,54,72
4,Q0129,24,1
2,10066,86,64
4,Q0271,33,1
1,10837,76,19
4,Q0310,34,1
3,B0234,57,39
3,B0069,50,19
3,B0131,42,54
3,B0371,59,13
1,11263,71,35
5,S0004,63,56
3,10254,50,29
2,X0020,78,52
3,B0134,57,5
5,S0078,63,64
1,M0111,73,9
3,11188,52,18
4,Q0321,31,50
4,Q0036,32,19
5,S0059,62,11
4,Q0176,23,71
2,X0077,87,89
4,Q0191,35,19
3,11564,60,22
2,X0074,82,55
4,Q0050,32,17
4,Q0155,37,9
4,Q0029,32,68
1,M0018,73,82
2,X0192,79,69
3,11011,43,17
3,B0349,47,12
4,10561,37,70
3,B0292,49,57
2,10066,86,50
4,Q0005,33,47
1,M0232,74,13
4,Q0082,25,40
3,B0079,59,9
1,M0169,71,66
3,B0081,45,9
3,11107,58,36
1,M0106,72,51
3,B0142,50,50
1,11479,71,4
3,B0237,50,40
3,B0278,59,29
3,B0260,56,47
3,B0250,43,18
1,M0169,71,65
4,Q0234,28,37
3,11429,52,94
1,10569,69,57
3,B0384,45,48
4,Q0299,28,56
1,M0012,65,17
3,B0069,50,18
3,11428,54,67
2,X0152,83,71
1,M0121,70,52
1,M0262,74,41
1,10139,66,35
2,X0118,78,36
2,X0024,85,67
4,Q0039,32,64
3,B0217,41,94
2,X0205,79,51
4,Q0064,23,75
1,10410,74,23
3,B0059,60,4
4,11458,33,67
3,B0307,44,37
3,11537,55,104
4,Q0261,23,66
3,10966,53,34
3,B0375,47,24
4,Q0129,24,3
4,Q0136,26,71
2,X0179,81,70
2,11451,84,20
2,X0118,78,16
1,11533,68,56
4,10962,27,62
1,M0248,70,86
4,Q0314,38,16
5,S0035,62,56
4,Q0040,40,45
1,10465,75,42
1,11474,71,57
2,X0213,79,78
1,10432,67,95
3,10784,49,55
4,Q0176,23,38
3,B0234,57,40
2,X0179,81,73
5,S0073,64,5
1,M0014,67,37
4,Q0216,35,26
1,10577,66,2
3,11566,57,10
1,M0218,76,15
1,10465,75,50
2,X0003,87,16
4,Q0117,26,41
4,Q0176,23,83
4,Q0203,31,45
2,11151,83,3
5,S0075,63,8
2,X0103,87,44
3,11418,43,31
4,10560,26,4
4,Q0243,23,26
3,10256,59,45
1,M0218,76,6
3,B0263,55,55
4,10961,28,1
1,M0156,74,39
4,10738,29,26
2,X0210,80,40
2,X0066,87,28
4,Q0247,28,71
4,Q0234,28,38
4,Q0184,37,66
3,B0277,60,53
3,B0234,57,35
4,Q0105,33,72
4,Q0266,24,45
4,Q0048,40,32
1,M0135,69,87
3,11410,51,81
3,B0103,57,19
4,10560,26,5
3,B0197,46,4
3,B0328,55,96
1,M0142,71,15
1,10516,66,40
2,X0042,82,29
4,Q0056,40,13
3,10966,50,20
1,M0046,65,63
4,Q0200,35,2
2,X0034,83,41
3,11293,50,4
3,B0287,50,60
4,Q0049,29,41
5,S0073,64,4
3,B0349,47,18
4,Q0217,26,47
3,11230,58,26
5,11426,62,48
4,10862,38,6
3,B0255,41,47
4,11158,38,59
4,Q0076,23,48
1,M0237,67,93
4,Q0262,27,7
4,Q0064,23,64
4,Q0033,31,17
1,10928,71,41
4,10864,36,13
4,Q0254,30,5
3,10062,45,5
3,B0101,53,75
4,Q0025,31,22
3,B0382,47,31
3,B0017,42,32
1,M0171,76,53
4,Q0124,36,39
3,B0343,49,51
4,Q0160,31,63
3,11417,58,47
3,B0034,57,37
4,Q0232,30,23
5,S0024,62,28
1,10518,68,36
1,11261,72,2
2,X0053,85,14
3,B0092,45,30
4,Q0129,24,15
1,M0218,76,7
1,11193,66,37
3,11175,47,20
5,S0034,62,51
1,11508,72,7
3,B0237,50,41
3,B0024,59,64
2,10077,87,76
2,10312,84,62
2,X0103,87,45
3,B0217,41,59
5,10634,62,3
3,B0093,53,1
5,10636,61,28
1,M0019,66,60
3,10114,53,50
2,10087,86,17
3,B0256,51,80
4,11436,33,35
3,B0271,43,71
3,11454,41,20
2,X0093,78,43
3,B0193,55,51
3,11382,46,34
3,B0069,50,33
1,M0078,68,5
1,M0051,70,39
3,B0088,53,43
1,10405,70,4
3,B0104,58,19
5,S0035,64,9
2,X0153,81,17
4,Q0093,24,31
3,10217,45,53
3,B0159,46,27
3,B0275,56,11
2,11451,84,19
3,B0191,53,9
1,M0140,68,43
5,S0032,62,64
3,11175,47,34
2,X0215,85,50
3,B0131,42,48
1,M0259,72,72
1,M0111,74,82
3,11447,55,98
1,11514,68,80
1,10142,74,37
2,X0022,79,39
5,S0054,64,49
3,B0113,50,45
3,10319,41,84
3,10966,53,35
2,X0022,79,38
2,X0080,87,77
1,10524,66,56
4,Q0096,29,21
3,11118,59,53
1,M0145,72,29
5,11292,61,35
3,11471,64,80
4,Q0152,35,38
3,B0282,59,4
4,Q0025,31,24
3,B0096,41,7
4,Q0261,38,29
3,11445,54,27
4,Q0050,32,21
4,Q0012,29,70
3,B0075,56,70
3,B0076,41,1
