BOROUGH,SITE_NUMBER,AD,ED
1,11620,72,30
1,M0177,73,54
3,11612,48,56
1,M0177,73,57
2,11758,82,89
3,11386,57,1
3,11621,41,52
1,M0049,67,63
3,11605,55,46
2,11758,82,80
4,Q0202,26,78
2,10346,77,20
1,11487,67,85
1,10405,70,18
2,10949,82,7
2,11146,85,35
2,X0131,84,34
3,00038,58,56
1,00025,68,92
1,M0041,67,31
3,00048,41,83
3,00039,41,35
2,00030,82,34
1,00012,67,90
2,X0203,85,74
1,00007,66,27
3,11624,52,13
1,00013,66,81
1,00025,68,93
2,11754,82,92
1,00016,66,28
3,11624,52,14
3,00043,48,42
3,B0011,52,11
4,00056,28,47
4,00062,28,34
1,11532,68,34
3,00038,58,11
3,00046,47,33
5,00067,61,37
1,11532,68,59
4,00062,27,72
1,11736,70,14
1,00009,74,2
1,11119,67,19
5,00067,61,38
3,00048,41,88
3,00050,45,21
3,00039,41,75
1,00012,69,2
1,00013,66,79
3,00048,41,87
4,00063,23,74
1,00016,66,29
1,00012,69,3
1,00009,74,3
1,00009,74,5
2,00036,80,42
1,M0289,75,103
3,00048,41,82
4,00062,27,19
3,00048,41,85
3,00050,47,51
1,00012,69,4
2,11757,82,113
1,00012,69,1
3,00050,45,35
1,00012,69,5
1,00019,75,37
5,00067,63,61
3,00048,41,44
4,00062,27,20
3,00038,58,52
3,00046,47,32
1,00001,76,87
1,00028,71,86
3,00049,52,54
4,Q0198,30,48
3,00050,45,32
3,00050,45,33
1,00012,69,10
1,00001,76,98
1,00028,72,73
4,00063,23,81
3,00050,45,34
1,00025,68,78
1,11587,74,60
3,00049,52,53
3,00049,52,55
1,00028,72,57
1,00013,66,80
1,M0169,72,78
4,00060,28,43
3,00045,55,35
4,00062,28,24
1,M0169,72,8
2,11746,77,48
2,11754,82,95
3,00039,41,10
3,00038,58,8
3,00048,41,89
1,11532,68,57
4,10162,27,28
1,00025,68,77
3,00039,41,77
3,00038,58,10
4,00062,28,28
3,00048,41,86
3,00039,41,76
1,00012,69,7
4,00063,23,73
4,00062,28,33
1,00007,66,30
3,00049,52,52
3,00039,41,78
3,11624,52,16
5,00067,61,39
1,11255,65,4
4,00063,23,41
1,00012,69,6
5,11626,63,18
1,10520,69,102
4,00063,23,72
4,10203,30,44
4,00060,28,49
3,11624,52,15
4,00063,23,82
1,00028,72,58
3,00050,45,55
4,00060,28,44
1,10523,69,101
1,00028,72,47
3,00049,52,56
1,00013,66,82
1,11532,70,1
5,11626,63,19
1,00028,72,64
3,00043,48,47
4,00063,23,80
3,00043,48,46
1,00007,66,31
1,00028,72,49
4,00063,23,40
1,00028,72,61
1,M0231,67,7
4,00056,28,31
2,00030,82,37
1,00028,72,59
3,00039,41,80
2,11757,82,67
5,00067,61,40
4,00058,39,52
1,00012,69,11
1,00012,69,9
3,B0212,52,12
1,00028,72,60
4,00058,39,9
4,00058,39,1
3,00046,47,49
1,00009,74,4
1,00028,72,48
3,00046,47,48
3,00046,47,47
3,11625,52,10
1,00016,66,25
4,00060,27,46
3,00038,55,95
4,00060,28,48
1,00012,67,72
2,11757,82,70
3,00046,47,66
4,00062,27,70
3,00038,58,54
2,X0025,77,9
2,11496,78,15
4,11369,35,60
1,11748,67,112
2,X0024,85,62
2,X0075,82,62
4,Q0318,37,16
3,B0113,53,6
3,11521,48,70
3,11433,54,44
3,B0094,47,46
